cod_magist_sucedi;dat_inicio_orgao;dat_termin_orgao;cod_magist_sucess;cod_orgao_gabine_sucedi;cod_orgao_gabine_sucess
000000031;29-jun-00;21-mai-03;000000031;SP01G2044;SP01G3071
000000031;22-mai-03;14-jun-04;000000031;SP01G3071;SP01G3084
000000031;15-jun-04;16-fev-12;000000026;SP01G3084;SP01G3074
000000031;17-fev-14;09-abr-14;000000031;SP01G3074;SP01G3082
000000031;10-abr-14;;;SP01G3082;
000000032;10-ago-01;01-mai-07;000000032;SP01G1024;SP01G0993
000000032;02-mai-07;28-jun-07;000000032;SP01G0993;SP01G1053
000000032;29-jun-07;11-jan-11;000000032;SP01G1053;SP01G1024
000000032;12-jan-11;;;SP01G1024;
000000033;14-jan-02;07-set-03;000000033;SP01G1051;SP01G2044
000000033;08-set-03;16-fev-12;000000033;SP01G2044;SP01G0993
000000033;17-fev-12;16-fev-14;000000031;SP01G0993;SP01G3074
000000033;22-fev-16;;;SP01G2063;
000000034;03-abr-02;16-fev-14;000000034;SP01G2031;SP01G0991
000000034;17-fev-14;21-fev-16;000000033;SP01G0991;SP01G2063
000000035;09-mai-02;19-dez-02;000000035;SP01G2041;SP01G1014
000000035;20-dez-02;21-mai-03;000000035;SP01G1014;SP01G3081
000000035;22-mai-03;09-jun-15;000000035;SP01G3081;SP01G0992
000000035;10-jun-15;;;SP01G0992;
000000036;11-jun-03;21-fev-16;000000036;SP01G2063;SP01G0993
000000036;22-fev-16;;;SP01G0993;
000000037;01-ago-03;23-set-13;000000037;SP01G2032;SP01G2032
000000037;08-nov-13;;;SP01G2032;
000000038;25-mai-05;23-mai-07;000000039;SP01G2042;SP01G2034
000000038;23-ago-10;22-nov-11;000000039;SP01G2042;SP01G2034
000000038;23-nov-11;18-mai-15;000000044;SP01G2042;SP01G2062
000000039;25-mai-05;18-dez-06;000000026;SP01G2034;SP01G2043
000000039;24-mai-07;22-nov-11;000000038;SP01G2034;SP01G2042
000000039;23-nov-11;23-nov-13;000000055;SP01G2034;SP01G1052
000000041;13-ago-12;19-out-14;000000041;SP01G3091;SP01G3093
000000041;20-out-14;16-ago-16;000000067;SP01G3093;SP01G4052
000000042;20-fev-13;;;SP01G2064;
