cod_orgao_gabine;cod_magist;sta_magist_gabine_judici;dat_inicio_ativid_judici;dat_termin_ativid_judici
SP01G1052;00000072S;C ;20-mai-02;19-dez-02
SP01G1052;00000081S;S ;04-ago-08;04-ago-08
SP01G1052;00000081S;S ;18-ago-08;18-ago-08
SP01G1052;00000081S;S ;25-ago-08;25-ago-08
SP01G1052;00000101S;C ;28-set-09;07-out-09
SP01G1052;00000111S;C ;13-out-08;15-dez-10
SP01G1052;00000113S;C ;30-set-09;31-dez-09
SP01G1052;00000116S;C ;10-mar-08;31-jul-08
SP01G1052;00000118S;S ;27-fev-07;27-abr-07
SP01G1052;00000122S;S ;07-mai-12;23-jun-12
SP01G1052;00000124S;C ;13-out-09;31-dez-09
SP01G1053;000000023;T ;01-ago-95;28-jun-07
SP01G1053;000000032;T ;29-jun-07;11-jan-11
SP01G1053;00000004S;C ;22-nov-01;17-mai-02
SP01G1053;00000004S;C ;20-mai-02;19-dez-02
SP01G1053;00000004S;C ;03-fev-03;21-mai-03
SP01G1053;000000061;T ;28-jan-11;01-jul-14
SP01G1053;00000022S;C ;03-fev-03;21-mai-03
SP01G1053;00000026S;C ;01-ago-00;19-dez-00
SP01G1053;00000026S;C ;01-fev-01;29-jun-01
SP01G1053;00000026S;C ;01-ago-01;28-set-01
SP01G1053;00000030S;C ;25-ago-99;19-dez-99
SP01G1053;00000033S;S ;08-jan-07;07-abr-07
SP01G1053;00000034S;C ;18-fev-02;17-mai-02
SP01G1053;00000034S;C ;20-mai-02;19-dez-02
SP01G1053;00000035S;C ;19-nov-01;17-mai-02
SP01G1053;00000035S;C ;20-mai-02;19-dez-02
SP01G1053;00000035S;C ;03-fev-03;20-mai-03
SP01G1053;00000035S;S ;10-fev-05;30-mar-05
SP01G1053;00000044S;C ;19-nov-01;31-jan-02
SP01G1053;00000046S;C ;25-ago-99;19-dez-99
SP01G1053;00000046S;C ;01-fev-00;30-jun-00
SP01G1053;00000046S;S ;25-fev-10;25-abr-10
SP01G1053;00000048S;C ;09-fev-00;30-jun-00
SP01G1053;00000048S;C ;01-ago-00;19-dez-00
SP01G1053;00000048S;C ;01-fev-01;29-jun-01
SP01G1053;00000048S;C ;01-ago-01;28-set-01
SP01G1053;00000048S;C ;29-set-01;31-out-01
SP01G1053;00000051S;C ;28-set-09;31-dez-09
SP01G1053;00000052S;C ;19-nov-01;27-fev-02
SP01G1053;00000054S;C ;19-nov-01;17-mai-02
SP01G1053;00000055S;C ;28-set-09;31-dez-09
SP01G1053;00000059S;S ;19-nov-12;19-dez-12
SP01G1053;00000059S;S ;22-out-13;19-dez-13
SP01G1053;00000062S;C ;03-fev-03;21-mai-03
SP01G1053;00000063S;C ;19-nov-01;17-mai-02
SP01G1053;00000063S;C ;20-mai-02;19-dez-02
SP01G1053;00000063S;C ;03-fev-03;20-mai-03
SP01G1053;00000064S;C ;29-set-01;31-out-01
SP01G1053;00000069S;C ;04-mar-02;17-mai-02
SP01G1053;00000069S;C ;20-mai-02;19-dez-02
SP01G1053;00000069S;C ;03-fev-03;21-mai-03
SP01G1053;00000070S;C ;16-fev-06;20-jun-06
SP01G1053;00000072S;C ;20-mai-02;19-dez-02
SP01G1053;00000078S;S ;02-fev-03;20-mar-04
SP01G1053;00000083S;S ;09-abr-12;09-mai-12
SP01G1053;00000101S;C ;28-set-09;07-out-09
SP01G1053;00000113S;C ;30-set-09;31-dez-09
SP01G1053;00000124S;C ;13-out-09;31-dez-09
SP01G1053;00000140S;S ;01-mar-11;01-abr-11
SP01G1053;00000140S;S ;03-out-11;02-nov-11
SP01G1054;000000027;T ;01-ago-95;06-nov-12
SP01G1054;00000004S;C ;25-ago-99;19-dez-99
SP01G1054;00000004S;C ;01-fev-00;30-jun-00
SP01G1054;00000004S;C ;02-ago-00;29-ago-00
SP01G1054;00000004S;C ;02-out-00;19-dez-00
SP01G1054;00000004S;C ;01-fev-01;15-abr-01
SP01G1054;00000004S;C ;27-mai-01;29-jun-01
SP01G1054;00000004S;C ;01-ago-01;26-set-01
SP01G1054;00000004S;S ;27-set-01;30-out-01
SP01G1054;00000004S;C ;31-out-01;31-out-01
SP01G1054;00000004S;C ;22-nov-01;17-mai-02
SP01G1054;00000004S;C ;20-mai-02;19-dez-02
SP01G1054;00000004S;C ;03-fev-03;21-mai-03
SP01G1054;000000067;T ;01-abr-13;01-jul-14
SP01G1054;00000022S;C ;03-fev-03;21-mai-03
SP01G1054;00000027S;S ;01-set-97;30-out-97
SP01G1054;00000027S;T ;06-dez-12;31-mar-13
SP01G1054;00000034S;S ;18-ago-98;22-set-98
SP01G1054;00000034S;C ;18-fev-02;17-mai-02
SP01G1054;00000034S;C ;20-mai-02;19-dez-02
SP01G1054;00000035S;C ;19-nov-01;17-mai-02
SP01G1054;00000035S;C ;20-mai-02;19-dez-02
SP01G1054;00000035S;C ;03-fev-03;20-mai-03
SP01G1054;00000035S;C ;02-ago-06;19-dez-06
SP01G1054;00000044S;C ;19-nov-01;31-jan-02
SP01G1054;00000051S;C ;28-set-09;31-dez-09
SP01G1054;00000052S;C ;19-nov-01;27-fev-02
SP01G1054;00000054S;C ;27-set-01;30-out-01
SP01G1054;00000054S;C ;19-nov-01;17-mai-02
SP01G1054;00000055S;C ;28-set-09;31-dez-09
SP01G1054;00000057S;C ;30-ago-00;01-out-00
SP01G1054;00000057S;C ;16-abr-01;26-mai-01
SP01G1054;00000057S;S ;11-set-06;11-out-06
SP01G1054;00000060S;S ;08-jan-07;07-fev-07
SP01G1054;00000060S;S ;08-out-13;10-nov-13
SP01G1054;00000062S;C ;03-fev-03;21-mai-03
SP01G1054;00000063S;C ;19-nov-01;17-mai-02
SP01G1054;00000063S;C ;20-mai-02;19-dez-02
SP01G1054;00000063S;C ;03-fev-03;20-mai-03
SP01G1054;00000067S;S ;07-jan-14;23-fev-14
SP01G1054;00000067S;C ;19-mai-14;19-mai-14
SP01G1054;00000069S;C ;04-mar-02;17-mai-02
SP01G1054;00000069S;C ;20-mai-02;19-dez-02
SP01G1054;00000069S;C ;03-fev-03;21-mai-03
SP01G1054;00000070S;C ;16-fev-06;20-jun-06
SP01G1054;00000072S;C ;20-mai-02;19-dez-02
SP01G1054;00000078S;S ;09-jan-06;07-fev-06
SP01G1054;00000078S;S ;08-fev-06;08-fev-06
SP01G1054;00000083S;S ;07-jan-05;06-fev-05
SP01G1054;00000090S;S ;24-jun-14;01-jul-14
SP01G1054;00000101S;C ;28-set-09;07-out-09
SP01G1054;00000113S;C ;30-set-09;31-dez-09
SP01G1054;00000116S;S ;24-jun-13;25-jul-13
SP01G1054;00000124S;C ;13-out-09;31-dez-09
SP01G2031;000000006;T ;30-mar-89;26-mar-98
SP01G2031;000000014;T ;18-fev-14;02-jun-15
SP01G2031;000000034;T ;14-ago-98;16-fev-14
SP01G2031;00000005S;T ;30-mar-98;13-ago-98
SP01G2031;000000061;T ;27-jul-15;
SP01G2031;00000059S;S ;01-abr-13;18-mai-13
SP01G2031;00000059S;S ;29-jan-14;13-fev-14
SP01G2031;00000067S;T ;03-jun-15;26-jul-15
SP01G2031;00000080S;C ;17-abr-06;16-jun-06
SP01G2031;00000081S;C ;11-mai-15;20-mai-15
SP01G2031;00000081S;C ;01-jun-15;02-jun-15
SP01G2031;00000081S;C ;08-jun-15;19-jun-15
SP01G2031;00000081S;S ;03-ago-15;24-set-15
SP01G2031;00000081S;S ;15-fev-16;16-mar-16
SP01G2031;00000082S;C ;28-set-09;15-dez-10
SP01G2031;00000089S;C ;05-jul-06;08-dez-10
SP01G2031;00000091S;S ;15-ago-05;25-ago-05
SP01G2031;00000091S;C ;25-ago-05;14-set-05
SP01G2031;00000091S;S ;16-jan-06;18-fev-06
SP01G2031;00000091S;S ;23-jan-12;16-fev-12
SP01G2031;00000091S;C ;17-fev-12;17-fev-12
SP01G2031;00000091S;S ;13-jun-12;13-jul-12
SP01G2031;00000101S;S ;29-jan-07;07-fev-07
SP01G2031;00000104S;C ;28-set-09;15-dez-10
SP01G2031;00000109S;S ;19-jun-06;18-jul-06
SP01G2031;00000109S;S ;19-jul-06;19-jul-06
SP01G2031;00000111S;C ;28-set-09;15-dez-10
SP01G2031;00000113S;C ;14-jan-15;12-mai-15
SP01G2031;00000113S;C ;28-mai-15;28-mai-15
SP01G2031;00000116S;S ;20-ago-13;19-set-13
SP01G2031;00000116S;C ;09-dez-14;13-jan-15
SP01G2031;00000116S;C ;28-mai-15;28-mai-15
SP01G2031;00000119S;C ;01-abr-14;08-dez-14
SP01G2031;00000119S;C ;05-fev-15;05-fev-15
SP01G2031;00000134S;S ;16-ago-11;15-set-11
SP01G2032;000000009;T ;30-mar-89;02-mai-99
SP01G2032;000000037;T ;17-jun-99;23-set-13
SP01G2032;000000037;T ;08-nov-13;
SP01G2032;00000024S;S ;01-jun-98;31-dez-98
SP01G2032;00000040S;T ;04-mai-99;16-jun-99
SP01G2032;00000057S;S ;17-out-06;15-dez-06
SP01G2032;00000059S;C ;06-ago-10;05-set-10
SP01G2032;00000059S;C ;07-mar-12;19-abr-12
SP01G2032;00000059S;S ;20-mai-13;07-jun-13
SP01G2032;00000071S;S ;14-fev-05;16-mar-05
SP01G2032;00000082S;C ;28-set-09;15-dez-10
SP01G2032;00000089S;C ;03-out-06;08-dez-10
SP01G2032;00000089S;C ;12-abr-12;12-abr-12
SP01G2032;00000089S;S ;01-out-14;31-out-14
SP01G2032;00000089S;C ;15-jan-15;15-jan-15
SP01G2032;00000089S;C ;26-fev-15;26-fev-15
SP01G2032;00000089S;C ;23-abr-15;23-abr-15
SP01G2032;00000089S;C ;28-mai-15;28-mai-15
SP01G2032;00000089S;C ;25-jun-15;25-jun-15
SP01G2032;00000089S;S ;01-jul-15;02-ago-15
SP01G2032;00000089S;C ;05-nov-15;05-nov-15
SP01G2032;00000089S;S ;11-jan-16;10-fev-16
SP01G2032;00000089S;C ;28-abr-16;28-abr-16
SP01G2032;00000089S;C ;19-mai-16;19-mai-16
SP01G2032;00000089S;C ;30-jun-16;30-jun-16
SP01G2032;00000089S;C ;21-jul-16;21-jul-16
SP01G2032;00000089S;C ;22-set-16;22-set-16
SP01G2032;00000089S;S ;13-out-16;08-nov-16
SP01G2032;00000096S;S ;14-nov-05;13-dez-05
SP01G2032;00000096S;S ;14-dez-05;14-dez-05
SP01G2032;00000096S;S ;15-dez-05;16-dez-05
SP01G2032;00000096S;S ;13-jun-06;13-jul-06
SP01G2032;00000104S;C ;28-set-09;15-dez-10
SP01G2032;00000104S;S ;15-mai-12;14-jun-12
SP01G2032;00000104S;T ;24-set-13;07-nov-13
SP01G2032;00000104S;C ;03-abr-14;03-abr-14
SP01G2032;00000106S;C ;03-nov-10;03-dez-10
SP01G2032;00000111S;C ;28-set-09;15-dez-10
SP01G2032;00000111S;C ;08-set-16;08-set-16
SP01G2032;00000144S;S ;02-jul-12;02-ago-12
SP01G2033;000000001;T ;31-mar-89;23-abr-92
SP01G2033;000000002;T ;30-mar-89;01-mai-91
SP01G2033;000000008;T ;05-mai-03;26-mar-15
SP01G2033;000000014;T ;08-mai-92;31-jul-95
SP01G2033;000000021;T ;01-ago-95;04-mai-03
SP01G2033;000000044;T ;25-mai-15;
SP01G2033;00000059S;S ;10-fev-04;07-mar-04
SP01G2033;00000059S;S ;20-jun-06;20-jul-06
SP01G2033;00000059S;S ;21-jul-06;04-ago-06
SP01G2033;00000059S;S ;17-nov-06;19-dez-06
SP01G2033;00000059S;S ;07-jan-11;06-fev-11
SP01G2033;00000059S;S ;15-jun-11;15-jul-11
SP01G2033;00000059S;S ;02-jul-12;01-ago-12
SP01G2033;00000059S;C ;13-dez-12;13-dez-12
SP01G2033;00000059S;S ;19-jun-13;19-jul-13
SP01G2033;00000067S;T ;27-mar-15;24-mai-15
SP01G2033;00000082S;C ;28-set-09;15-dez-10
SP01G2033;00000088S;S ;06-jul-15;05-ago-15
SP01G2033;00000089S;C ;02-mar-06;08-dez-10
SP01G2033;00000089S;C ;07-jul-11;07-jul-11
SP01G2033;00000089S;S ;30-jun-14;30-jul-14
SP01G2033;00000089S;C ;18-dez-14;18-dez-14
SP01G2033;00000089S;C ;22-jan-15;22-jan-15
SP01G2033;00000089S;C ;05-fev-15;05-fev-15
SP01G2033;00000094S;S ;03-out-05;03-nov-05
SP01G2033;00000094S;C ;03-nov-05;29-nov-05
SP01G2033;00000096S;S ;20-fev-06;17-abr-06
SP01G2033;00000096S;S ;16-mai-06;12-jun-06
SP01G2033;00000104S;C ;28-set-09;15-dez-10
SP01G2033;00000111S;C ;28-set-09;15-dez-10
SP01G2033;00000111S;C ;13-dez-12;13-dez-12
SP01G2033;00000116S;S ;07-jan-16;06-fev-16
SP01G2033;00000116S;C ;02-jun-16;02-jun-16
SP01G2033;00000116S;C ;30-jun-16;30-jun-16
SP01G2034;000000005;T ;03-mai-99;16-jul-99
SP01G2034;000000008;T ;30-mar-89;04-mai-97
SP01G2034;000000011;T ;02-out-98;07-out-98
SP01G2034;000000039;T ;20-dez-02;
SP01G2034;00000004S;T ;16-mai-97;01-out-98
SP01G2034;00000004S;T ;08-out-98;02-mai-99
SP01G2034;00000037S;T ;16-set-02;19-dez-02
SP01G2034;00000040S;T ;04-ago-99;13-jun-02
SP01G2034;00000041S;S ;12-mai-99;01-jul-99
SP01G2034;00000044S;T ;14-jun-02;12-set-02
SP01G2034;00000051S;C ;05-ago-09;21-ago-09
SP01G2034;00000051S;C ;25-ago-09;24-set-09
SP01G2034;00000059S;C ;13-dez-12;13-dez-12
SP01G2034;00000081S;S ;02-out-06;12-out-06
SP01G2034;00000081S;S ;04-abr-16;22-mai-16
SP01G2034;00000082S;C ;28-set-09;15-dez-10
SP01G2034;00000089S;S ;27-jun-05;10-ago-05
SP01G2034;00000089S;C ;12-set-05;08-dez-10
SP01G2034;00000089S;S ;24-mar-14;21-abr-14
SP01G2034;00000089S;C ;23-abr-15;23-abr-15
SP01G2034;00000104S;S ;03-ago-06;23-ago-06
SP01G2034;00000104S;C ;08-nov-06;08-nov-06
SP01G2034;00000104S;S ;03-jul-09;15-dez-10
SP01G2034;00000111S;S ;18-jul-06;02-ago-06
SP01G2034;00000111S;S ;10-nov-06;19-dez-06
SP01G2034;00000111S;C ;28-set-09;15-dez-10
SP01G2034;00000111S;C ;13-dez-12;13-dez-12
SP01G2034;00000111S;C ;07-jan-13;18-fev-13
SP01G2034;00000111S;S ;19-fev-13;22-mar-13
SP01G2034;00000111S;S ;01-abr-13;17-abr-13
SP01G2034;00000111S;C ;18-abr-13;19-abr-13
SP01G2034;00000111S;S ;20-abr-13;08-mai-13
SP01G2034;00000111S;C ;09-mai-13;09-mai-13
SP01G2034;00000111S;S ;10-mai-13;14-mai-13
SP01G2034;00000111S;C ;15-mai-13;15-mai-13
SP01G2034;00000111S;S ;16-mai-13;16-mai-13
SP01G2034;00000111S;S ;16-set-13;08-out-13
SP01G2034;00000111S;C ;07-nov-13;07-nov-13
SP01G2034;00000111S;S ;12-dez-13;19-dez-13
SP01G2034;00000111S;S ;07-jan-14;07-fev-14
SP01G2034;00000111S;S ;10-fev-14;05-mar-14
SP01G2034;00000111S;S ;22-abr-14;25-mai-14
SP01G2034;00000111S;C ;04-jun-14;04-jun-14
SP01G2034;00000111S;C ;21-ago-14;21-ago-14
SP01G2034;00000111S;C ;04-set-14;04-set-14
SP01G2034;00000111S;C ;18-set-14;18-set-14
SP01G2034;00000111S;C ;06-nov-14;06-nov-14
SP01G2034;00000111S;C ;26-fev-15;26-fev-15
SP01G2034;00000111S;C ;09-abr-15;09-abr-15
SP01G2034;00000116S;S ;24-ago-06;13-set-06
SP01G2034;00000116S;S ;16-out-06;08-nov-06
SP01G2034;00000116S;S ;09-out-13;30-out-13
SP01G2034;00000116S;S ;19-nov-13;11-dez-13
SP01G2034;00000116S;S ;06-mar-14;23-mar-14
SP01G2034;00000116S;S ;26-mai-14;01-jul-14
SP01G2034;00000116S;C ;21-ago-14;21-ago-14
SP01G2034;00000116S;C ;16-out-14;16-out-14
SP01G2034;00000116S;C ;06-nov-14;06-nov-14
SP01G2034;00000116S;S ;23-out-15;10-dez-15
SP01G2034;00000124S;S ;04-jul-07;22-jul-07
SP01G2034;00000124S;S ;04-jul-11;03-ago-11
SP01G2034;00000124S;S ;22-fev-12;29-mar-12
SP01G2041;000000011;T ;30-mar-89;01-out-98
SP01G2041;000000023;T ;22-fev-12;
SP01G2041;000000030;T ;07-jan-03;16-fev-12
SP01G2041;000000035;T ;02-out-98;19-dez-02
SP01G2041;00000005S;S ;06-out-98;14-nov-98
SP01G2041;00000005S;S ;16-nov-98;18-dez-98
SP01G2041;00000049S;S ;10-jan-01;08-fev-11
SP01G2041;00000049S;S ;22-fev-12;14-mai-12
SP01G2041;00000054S;S ;02-mai-00;05-jun-00
SP01G2041;00000064S;S ;07-jan-13;08-mar-14
SP01G2041;00000064S;S ;07-jan-15;07-jan-15
SP01G2041;00000068S;T ;20-dez-02;06-jan-03
SP01G2041;00000082S;C ;28-set-09;15-dez-10
SP01G2041;00000089S;C ;28-set-09;08-dez-10
SP01G2041;00000094S;C ;01-mai-06;19-dez-06
SP01G2041;00000096S;C ;18-jan-07;27-jun-07
SP01G2041;00000104S;C ;28-set-09;15-dez-10
SP01G2041;00000111S;C ;28-set-09;15-dez-10
SP01G2041;00000160S;S ;07-jan-16;06-mar-16
SP01G2042;000000010;T ;30-mar-89;04-out-95
SP01G2042;000000013;T ;19-dez-95;14-jan-02
SP01G2042;000000038;T ;14-jun-02;10-ago-15
SP01G2042;000000071;T ;17-set-15;
SP01G2042;00000016S;T ;19-out-95;18-dez-95
SP01G2042;00000044S;S ;01-out-00;31-dez-00
SP01G2042;00000044S;T ;01-fev-02;13-jun-02
SP01G2042;00000045S;S ;08-set-10;28-out-10
SP01G2042;00000056S;S ;01-jun-00;30-set-00
SP01G2042;00000057S;T ;12-ago-15;16-set-15
SP01G2042;00000082S;C ;28-set-09;15-dez-10
SP01G2042;00000089S;C ;28-set-09;08-dez-10
SP01G2042;00000089S;S ;27-fev-15;30-mar-15
SP01G2042;00000089S;C ;21-mai-15;21-mai-15
SP01G2042;00000089S;C ;18-jun-15;18-jun-15
SP01G2042;00000104S;C ;28-set-09;15-dez-10
SP01G2042;00000111S;C ;28-set-09;15-dez-10
SP01G2043;000000002;T ;16-jun-95;31-jul-95
SP01G2043;000000012;T ;30-mar-89;12-abr-93
SP01G2043;000000018;T ;11-mai-93;15-jun-95
SP01G2043;000000024;T ;19-fev-10;21-fev-12
SP01G2043;000000024;T ;02-mar-12;
SP01G2043;000000025;T ;30-ago-96;09-ago-01
SP01G2043;000000026;T ;20-dez-02;10-abr-03
SP01G2043;000000026;T ;18-dez-06;18-fev-10
SP01G2043;000000028;T ;01-ago-95;29-ago-96
SP01G2043;000000039;T ;14-jun-02;19-dez-02
SP01G2043;00000024S;S ;28-mai-99;27-jun-99
SP01G2043;00000024S;S ;02-ago-99;24-out-99
SP01G2043;00000024S;S ;15-fev-00;22-mar-00
SP01G2043;00000024S;T ;16-ago-01;13-jun-02
SP01G2043;00000024S;T ;29-abr-03;15-ago-06
SP01G2043;00000035S;S ;03-set-98;03-out-98
SP01G2043;00000035S;S ;04-out-98;29-out-98
SP01G2043;00000035S;S ;12-nov-98;15-dez-98
SP01G2043;00000035S;S ;07-jan-08;31-dez-08
SP01G2043;00000059S;T ;22-fev-12;01-mar-12
SP01G2043;00000082S;C ;28-set-09;15-dez-10
SP01G2043;00000086S;T ;17-ago-06;20-dez-06
SP01G2043;00000089S;C ;28-set-09;08-dez-10
SP01G2043;00000096S;S ;22-jun-15;25-jul-15
SP01G2043;00000104S;C ;28-set-09;15-dez-10
SP01G2043;00000111S;C ;28-set-09;15-dez-10
SP01G2043;00000120S;S ;09-jan-12;09-mar-12
SP01G2043;00000121S;S ;13-out-10;11-dez-10
SP01G2043;00000121S;S ;10-jan-11;09-fev-11
SP01G2043;00000121S;S ;27-jun-11;10-ago-11
SP01G2043;00000121S;C ;05-nov-12;12-abr-13
SP01G2043;00000125S;S ;14-jul-14;20-ago-14
SP01G2043;00000125S;S ;07-jan-15;06-fev-15
SP01G2043;00000125S;C ;16-abr-15;16-abr-15
SP01G2043;00000125S;C ;01-mai-16;
SP01G2043;00000152S;S ;25-jun-12;27-jul-12
SP01G2044;000000003;T ;30-mar-89;02-mai-93
SP01G2044;000000004;T ;03-mai-93;11-mai-97
SP01G2044;000000014;T ;22-out-12;14-jul-13
SP01G2044;000000022;T ;16-fev-12;16-jul-12
SP01G2044;000000031;T ;12-mai-97;21-mai-03
SP01G2044;000000033;T ;08-set-03;16-fev-12
SP01G2044;00000005S;S ;01-fev-99;31-mai-99
SP01G2044;000000069;T ;20-set-13;
SP01G2044;00000035S;C ;22-fev-12;31-mai-12
SP01G2044;00000039S;T ;22-mai-03;01-jul-03
SP01G2044;00000039S;T ;01-ago-03;07-set-03
SP01G2044;00000049S;T ;23-jul-12;21-out-12
SP01G2044;00000049S;C ;29-out-12;31-out-12
SP01G2044;00000049S;C ;05-nov-12;06-jan-13
SP01G2044;00000081S;C ;22-out-12;28-out-12
SP01G2044;00000081S;C ;07-jan-13;13-abr-13
SP01G2044;00000081S;C ;14-abr-13;12-jun-13
SP01G2044;00000081S;T ;15-jul-13;19-set-13
SP01G2044;00000082S;C ;28-set-09;15-dez-10
SP01G2044;00000089S;C ;28-set-09;08-dez-10
SP01G2044;00000104S;C ;28-set-09;15-dez-10
SP01G2044;00000111S;C ;28-set-09;15-dez-10
SP01G2044;00000121S;S ;16-ago-11;14-out-11
SP01G2044;00000128S;C ;11-fev-08;28-mar-08
SP01G2044;00000183S;S ;01-jul-15;31-jul-15
SP01G2044;00000183S;C ;19-ago-15;19-ago-15
SP01G2061;000000007;T ;02-mai-01;02-abr-02
SP01G2061;000000014;T ;01-ago-95;01-mai-01
SP01G2061;000000040;T ;12-jul-02;
SP01G2061;00000024S;S ;15-mai-00;30-jun-00
SP01G2061;00000028S;S ;13-out-98;16-nov-98
SP01G2061;00000039S;S ;01-mar-99;14-mar-99
SP01G2061;00000039S;T ;08-abr-02;12-jul-02
SP01G2061;00000042S;S ;17-mai-99;30-jun-99
SP01G2061;00000057S;S ;01-jun-01;30-jun-01
SP01G2061;00000062S;S ;03-mai-01;01-jun-01
SP01G2061;00000082S;C ;09-jan-06;15-dez-10
SP01G2061;00000082S;C ;16-dez-10;16-dez-10
SP01G2061;00000082S;S ;01-set-14;10-out-14
SP01G2061;00000082S;S ;26-out-15;18-dez-15
SP01G2061;00000089S;C ;28-set-09;08-dez-10
SP01G2061;00000089S;C ;09-dez-10;09-dez-10
SP01G2061;00000100S;S ;07-jan-13;06-fev-13
SP01G2061;00000100S;S ;01-jul-13;31-jul-13
SP01G2061;00000100S;S ;25-nov-13;17-dez-13
SP01G2061;00000100S;C ;14-ago-14;14-ago-14
SP01G2061;00000104S;C ;28-set-09;15-dez-10
SP01G2061;00000104S;C ;16-dez-10;16-dez-10
SP01G2061;00000104S;C ;05-jun-14;05-jun-14
SP01G2061;00000106S;S ;02-mai-06;15-jun-06
SP01G2061;00000106S;S ;04-jul-07;01-ago-07
SP01G2061;00000111S;C ;28-set-09;15-dez-10
SP01G2061;00000111S;C ;16-dez-10;16-dez-10
SP01G2061;00000116S;S ;29-jun-15;31-jul-15
SP01G2061;00000121S;S ;07-jan-15;30-jan-15
SP01G2061;00000121S;C ;07-jan-16;12-fev-16
SP01G2062;000000014;T ;03-jun-15;
SP01G2062;000000024;T ;01-ago-95;01-mai-05
SP01G2062;000000044;T ;21-out-13;24-mai-15
SP01G2062;000000049;T ;15-ago-05;27-ago-13
SP01G2062;00000021S;S ;17-mai-99;30-jun-99
SP01G2062;00000038S;S ;01-mar-99;14-mar-99
SP01G2062;00000038S;S ;29-mar-99;30-abr-99
SP01G2062;00000038S;S ;03-nov-99;07-dez-99
SP01G2062;00000055S;S ;15-mai-00;30-jun-00
SP01G2062;00000056S;C ;16-nov-15;01-out-16
SP01G2062;00000056S;S ;02-out-16;
SP01G2062;00000067S;T ;25-mai-15;02-jun-15
SP01G2062;00000079S;C ;14-fev-05;01-mai-05
SP01G2062;00000082S;C ;09-jan-06;15-dez-10
SP01G2062;00000082S;C ;16-dez-10;16-dez-10
SP01G2062;00000086S;C ;07-mar-05;01-mai-05
SP01G2062;00000086S;T ;02-mai-05;14-ago-05
SP01G2062;00000089S;C ;28-set-09;08-dez-10
SP01G2062;00000089S;C ;09-dez-10;09-dez-10
SP01G2062;00000100S;T ;16-set-13;20-out-13
SP01G2062;00000104S;C ;28-set-09;15-dez-10
SP01G2062;00000104S;C ;16-dez-10;16-dez-10
SP01G2062;00000104S;C ;05-jun-14;05-jun-14
SP01G2062;00000110S;S ;03-jul-06;01-ago-06
SP01G2062;00000110S;S ;02-ago-06;02-ago-06
SP01G2062;00000111S;C ;28-set-09;15-dez-10
SP01G2062;00000111S;C ;16-dez-10;16-dez-10
SP01G2062;00000116S;C ;20-jul-12;10-mar-13
SP01G2062;00000116S;C ;23-out-14;23-out-14
SP01G2062;00000116S;S ;14-jan-15;13-fev-15
SP01G2062;00000116S;C ;04-ago-16;04-ago-16
SP01G2062;00000125S;S ;07-jan-08;06-fev-08
SP01G2063;000000025;T ;01-ago-95;29-ago-96
SP01G2063;000000028;T ;30-ago-96;27-jul-98
SP01G2063;000000033;T ;22-fev-16;
SP01G2063;000000036;T ;27-jan-99;21-fev-16
SP01G2063;00000032S;T ;29-jul-98;26-jan-99
SP01G2063;00000042S;S ;03-ago-99;10-set-99
SP01G2063;00000048S;S ;28-jun-10;04-ago-10
SP01G2063;00000048S;S ;18-out-10;30-nov-10
SP01G2063;00000048S;C ;04-jul-11;03-ago-11
SP01G2063;00000048S;S ;29-ago-11;27-out-11
SP01G2063;00000053S;S ;01-abr-00;16-abr-00
SP01G2063;00000053S;S ;17-abr-00;07-mai-00
SP01G2063;00000082S;C ;10-jan-05;09-fev-05
SP01G2063;00000082S;S ;04-jul-05;25-ago-05
SP01G2063;00000082S;C ;25-ago-05;31-ago-05
SP01G2063;00000082S;C ;26-out-05;30-nov-05
SP01G2063;00000082S;C ;09-jan-06;15-dez-10
SP01G2063;00000082S;C ;16-dez-10;16-dez-10
SP01G2063;00000089S;C ;28-set-09;08-dez-10
SP01G2063;00000089S;C ;09-dez-10;09-dez-10
SP01G2063;00000091S;S ;06-jul-15;05-ago-15
SP01G2063;00000091S;S ;07-jan-16;06-fev-16
SP01G2063;00000100S;S ;11-abr-16;11-mai-16
SP01G2063;00000100S;S ;18-mai-16;17-jun-16
SP01G2063;00000100S;C ;30-jun-16;30-jun-16
SP01G2063;00000100S;S ;11-jul-16;29-jul-16
SP01G2063;00000100S;C ;03-ago-16;03-ago-16
SP01G2063;00000100S;C ;04-ago-16;04-ago-16
SP01G2063;00000104S;C ;28-set-09;15-dez-10
SP01G2063;00000104S;C ;16-dez-10;16-dez-10
SP01G2063;00000104S;C ;05-jun-14;05-jun-14
SP01G2063;00000106S;S ;10-jul-12;10-ago-12
SP01G2063;00000111S;C ;28-set-09;15-dez-10
SP01G2063;00000111S;C ;16-dez-10;16-dez-10
SP01G2063;00000136S;C ;10-set-12;14-out-12
SP01G2063;00000136S;C ;15-out-12;07-nov-12
SP01G2063;00000136S;C ;09-nov-12;01-jan-13
SP01G2063;00000136S;C ;05-jan-13;11-mar-14
SP01G2063;00000136S;C ;14-ago-14;14-ago-14
SP01G2063;00000180S;S ;07-jan-15;06-fev-15
SP01G2064;000000002;T ;01-ago-95;09-set-96
SP01G2064;000000014;T ;29-nov-11;21-fev-12
SP01G2064;000000024;T ;22-fev-12;01-mar-12
SP01G2064;000000030;T ;21-out-96;06-jan-03
SP01G2064;000000042;T ;22-out-12;
